         1584889 function calls (1445912 primitive calls) in 5.383 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       69    0.005    0.000    7.647    0.111 __init__.py:1(<module>)
        6    0.001    0.000    6.294    1.049 main.py:1(<module>)
    893/1    0.037    0.000    5.392    5.392 {built-in method builtins.exec}
    699/7    0.011    0.000    5.361    0.766 <frozen importlib._bootstrap>:1349(_find_and_load)
    692/7    0.009    0.000    5.360    0.766 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    659/9    0.007    0.000    5.356    0.595 <frozen importlib._bootstrap>:911(_load_unlocked)
  1551/15    0.009    0.000    5.356    0.357 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
    615/9    0.004    0.000    5.355    0.595 <frozen importlib._bootstrap_external>:1020(exec_module)
   206/55    0.001    0.000    4.757    0.086 {built-in method builtins.__import__}
 1341/413    0.007    0.000    4.648    0.011 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        2    0.000    0.000    3.509    1.755 applications.py:1(<module>)
        2    0.000    0.000    3.457    1.729 routing.py:1(<module>)
        5    0.000    0.000    3.242    0.648 models.py:1(<module>)
        1    0.000    0.000    3.083    3.083 params.py:1(<module>)
3230/3160    0.056    0.000    3.013    0.001 {built-in method builtins.__build_class__}
       53    0.004    0.000    2.492    0.047 _model_construction.py:555(complete_model_class)
       51    0.003    0.000    2.366    0.046 _model_construction.py:81(__new__)
  1629/69    0.019    0.000    1.677    0.024 _generate_schema.py:575(generate_schema)
  2192/68    0.028    0.000    1.669    0.025 _generate_schema.py:861(_generate_schema_inner)
  1105/68    0.006    0.000    1.666    0.025 _schema_generation_shared.py:83(__call__)
   161/56    0.001    0.000    1.663    0.030 main.py:680(__get_pydantic_core_schema__)
    81/53    0.010    0.000    1.654    0.031 _generate_schema.py:622(_model_schema)
  881/274    0.005    0.000    1.632    0.006 _generate_schema.py:1064(_generate_md_field_schema)
  914/275    0.041    0.000    1.629    0.006 _generate_schema.py:1217(_common_field_schema)
  923/287    0.014    0.000    1.598    0.006 _generate_schema.py:2015(_apply_annotations)
  923/287    0.008    0.000    1.564    0.005 _generate_schema.py:2034(inner_handler)
 2096/280    0.076    0.000    1.447    0.005 _generate_schema.py:886(match_type)
 1184/220    0.015    0.000    1.387    0.006 _generate_schema.py:997(_match_generic_type)
3683/1091    0.054    0.000    1.353    0.001 _generate_schema.py:738(_generate_schema_from_property)
  968/218    0.015    0.000    1.346    0.006 _generate_schema.py:1316(_union_schema)
       63    0.001    0.000    0.744    0.012 _generate_schema.py:544(clean_schema)
      378    0.001    0.000    0.706    0.002 _core_utils.py:424(walk_core_schema)
26954/560    0.078    0.000    0.701    0.001 _core_utils.py:191(walk)
26565/560    0.155    0.000    0.692    0.001 _core_utils.py:194(_walk)
22070/1007    0.082    0.000    0.674    0.001 _core_utils.py:201(_handle_other_schemas)
 1022/683    0.028    0.000    0.651    0.001 _core_utils.py:346(handle_model_fields_schema)
   116/82    0.001    0.000    0.534    0.007 _generate_schema.py:369(_dict_schema)
        1    0.000    0.000    0.531    0.531 db.py:1(<module>)
      879    0.007    0.000    0.501    0.001 __init__.py:330(_compile)
        3    0.000    0.000    0.501    0.167 _compat.py:1(<module>)
        8    0.000    0.000    0.486    0.061 exceptions.py:1(<module>)
      198    0.003    0.000    0.484    0.002 _compiler.py:743(compile)
      211    0.001    0.000    0.481    0.002 __init__.py:287(compile)
5693/5459    0.021    0.000    0.477    0.000 typing.py:426(inner)
        9    0.001    0.000    0.477    0.053 base.py:1(<module>)
     9977    0.030    0.000    0.468    0.000 {built-in method builtins.next}
     18/5    0.000    0.000    0.448    0.090 deprecations.py:249(warned)
     5011    0.016    0.000    0.442    0.000 contextlib.py:136(__enter__)
        1    0.000    0.000    0.430    0.430 <string>:1(create_engine)
        1    0.000    0.000    0.429    0.429 create.py:92(create_engine)
     7544    0.030    0.000    0.421    0.000 _generate_schema.py:2446(get_schema_or_ref)
    91/72    0.001    0.000    0.410    0.006 _generate_schema.py:366(_list_schema)
        5    0.000    0.000    0.402    0.080 events.py:1(<module>)
248985/247861    0.364    0.000    0.382    0.000 {built-in method builtins.isinstance}
     3784    0.079    0.000    0.379    0.000 _core_utils.py:69(get_type_ref)
       36    0.001    0.000    0.362    0.010 _core_utils.py:218(handle_definitions_schema)
        3    0.000    0.000    0.354    0.118 _compat.py:175(_model_rebuild)
        3    0.000    0.000    0.353    0.118 main.py:549(model_rebuild)
25398/24601    0.052    0.000    0.336    0.000 {built-in method builtins.hasattr}
        2    0.000    0.000    0.331    0.166 interfaces.py:1(<module>)
       63    0.001    0.000    0.306    0.005 _core_utils.py:442(simplify_schema_references)
        1    0.000    0.000    0.304    0.304 psycopg.py:416(import_dbapi)
      198    0.002    0.000    0.296    0.001 _parser.py:970(parse)
        1    0.000    0.000    0.296    0.296 users.py:1(<module>)
  747/198    0.011    0.000    0.291    0.001 _parser.py:451(_parse_sub)
       63    0.000    0.000    0.289    0.005 _discriminated_union.py:37(apply_discriminators)
 1083/206    0.079    0.000    0.287    0.001 _parser.py:511(_parse)
       13    0.000    0.000    0.263    0.020 __init__.py:71(import_module)
       13    0.000    0.000    0.263    0.020 <frozen importlib._bootstrap>:1375(_gcd_import)
        2    0.000    0.000    0.259    0.130 templating.py:1(<module>)
       11    0.000    0.000    0.245    0.022 __init__.py:402(__getattr__)
     1742    0.030    0.000    0.236    0.000 typing.py:1423(__init__)
      615    0.012    0.000    0.206    0.000 <frozen importlib._bootstrap_external>:1093(get_code)
